epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3809.95,1.33649,1.05878,1.23209,0.70541,0.48682,0.53099,0.25353,1.62312,1.18084,1.39359,0.000272375,0.000272375,0.000272375
81,3903.66,1.37015,1.0831,1.24547,0.66275,0.51284,0.52643,0.24668,1.61622,1.16982,1.39041,0.00026,0.00026,0.00026
82,3996.3,1.35625,1.081,1.2448,0.60807,0.52644,0.52434,0.24706,1.62311,1.17884,1.39221,0.000247625,0.000247625,0.000247625
83,4089.1,1.3601,1.08172,1.23891,0.61729,0.51762,0.50426,0.24126,1.62669,1.18094,1.3963,0.00023525,0.00023525,0.00023525
84,4182.64,1.35539,1.06749,1.2402,0.66746,0.48736,0.5269,0.24718,1.61575,1.1607,1.3992,0.000222875,0.000222875,0.000222875
85,4275.61,1.35466,1.074,1.23807,0.70211,0.47492,0.52075,0.24969,1.61281,1.16343,1.39328,0.0002105,0.0002105,0.0002105
86,4369.39,1.34962,1.06919,1.23887,0.65824,0.50481,0.52722,0.24649,1.62581,1.1693,1.38907,0.000198125,0.000198125,0.000198125
87,4462.56,1.32918,1.04544,1.21937,0.68306,0.50748,0.53289,0.24986,1.62173,1.16947,1.39476,0.00018575,0.00018575,0.00018575
88,4555.66,1.34594,1.05122,1.22821,0.62711,0.50933,0.5227,0.24704,1.62226,1.16092,1.3823,0.000173375,0.000173375,0.000173375
89,4649.23,1.34457,1.05463,1.22862,0.63684,0.48659,0.51576,0.24482,1.62387,1.1693,1.38494,0.000161,0.000161,0.000161
90,4741.84,1.34086,1.05495,1.23065,0.64455,0.5081,0.52058,0.24407,1.60741,1.16926,1.38048,0.000148625,0.000148625,0.000148625
91,4832.66,1.31959,0.95056,1.2283,0.69066,0.47224,0.50985,0.23633,1.61697,1.15918,1.39321,0.00013625,0.00013625,0.00013625
92,4922.62,1.29268,0.90418,1.21185,0.68924,0.47376,0.51739,0.24033,1.60976,1.15881,1.39571,0.000123875,0.000123875,0.000123875
93,5012.07,1.28538,0.89188,1.20321,0.7003,0.47605,0.51907,0.24644,1.59807,1.14694,1.38175,0.0001115,0.0001115,0.0001115
94,5102.29,1.27655,0.88132,1.19321,0.66261,0.49939,0.52716,0.24773,1.61161,1.15731,1.39023,9.9125e-05,9.9125e-05,9.9125e-05
95,5190.73,1.27821,0.8805,1.20192,0.62745,0.53367,0.54091,0.25223,1.60957,1.15171,1.39091,8.675e-05,8.675e-05,8.675e-05
96,5279.45,1.27688,0.87881,1.19768,0.65691,0.51119,0.53102,0.25048,1.60335,1.14928,1.3892,7.4375e-05,7.4375e-05,7.4375e-05
97,5368.77,1.26892,0.8679,1.19242,0.67299,0.49712,0.5389,0.25264,1.60114,1.14752,1.38183,6.2e-05,6.2e-05,6.2e-05
98,5457.23,1.26215,0.86293,1.19205,0.68853,0.48085,0.52838,0.25146,1.60094,1.15284,1.38204,4.9625e-05,4.9625e-05,4.9625e-05
99,5546.82,1.25143,0.85903,1.18454,0.6566,0.50011,0.53243,0.24976,1.60077,1.14379,1.39082,3.725e-05,3.725e-05,3.725e-05
100,5636.09,1.25196,0.85004,1.18324,0.67495,0.50086,0.52626,0.25049,1.59977,1.14152,1.38895,2.4875e-05,2.4875e-05,2.4875e-05
